datetime,client_id,order_id,item_id,amount,cost,vat,return_flag
2022-10-28 14:30:24.072376,19,144,216,7,88.35,17.67,N
2022-10-09 14:30:24.072376,94,445,2614,10,81.78,16.36,N
2023-01-04 14:30:24.072376,21,585,1604,4,61.85,12.37,N
2022-12-18 14:30:24.072376,10,216,816,1,44.13,8.83,N
2023-07-27 14:30:24.072376,52,48,1058,6,56.56,11.31,Y
2023-09-02 14:30:24.072376,91,231,7222,5,73.92,14.78,N
2023-01-28 14:30:24.072376,39,725,5613,6,21.57,4.31,N
2023-01-24 14:30:24.072376,57,321,9618,9,56.44,11.29,Y
2023-07-04 14:30:24.072376,1,515,2953,5,78.87,15.77,N
2023-07-10 14:30:24.072376,92,453,561,3,33.31,6.66,N
2023-04-19 14:30:24.072376,89,880,9118,7,74.95,14.99,N
2023-08-15 14:30:24.072376,94,177,5435,9,48.03,9.61,Y
2022-12-31 14:30:24.072376,62,172,7042,1,11.02,2.2,Y
2023-02-14 14:30:24.072376,42,803,6569,9,81.21,16.24,N
2023-04-08 14:30:24.072376,75,561,7272,10,47.96,9.59,N
2023-03-17 14:30:24.072376,13,372,5597,2,84.11,16.82,Y
2023-06-10 14:30:24.072376,84,206,9155,4,46.46,9.29,N
2023-05-15 14:30:24.072376,91,269,6651,8,91.24,18.25,Y
2023-01-21 14:30:24.072376,62,261,2939,9,72.32,14.46,N
2023-09-19 14:30:24.072376,11,557,2576,4,93.88,18.78,Y
2023-02-06 14:30:24.072376,93,49,4176,8,85.95,17.19,N
2022-12-10 14:30:24.072376,49,566,5599,4,44.48,8.9,N
2023-05-19 14:30:24.072376,38,422,2620,10,91.9,18.38,N
2023-08-17 14:30:24.072376,34,575,5482,2,80.12,16.02,Y
2023-06-02 14:30:24.072376,78,384,5706,8,73.99,14.8,Y
2023-07-19 14:30:24.072376,11,582,4883,5,81.45,16.29,N
2023-04-21 14:30:24.072376,35,230,204,7,53.13,10.63,N
2023-04-08 14:30:24.072376,72,306,9953,1,75.2,15.04,N
2022-10-22 14:30:24.072376,42,59,4727,5,64.3,12.86,Y
2023-02-14 14:30:24.072376,71,949,5943,8,88.9,17.78,N
2023-02-27 14:30:24.072376,66,66,9813,10,34.33,6.87,Y
2023-08-01 14:30:24.072376,6,661,246,9,21.22,4.24,Y
2023-04-04 14:30:24.072376,68,699,7700,6,19.28,3.86,Y
2023-08-21 14:30:24.072376,24,448,4192,6,91.98,18.4,N
2023-07-27 14:30:24.072376,78,991,2311,8,89.22,17.84,Y
2023-04-09 14:30:24.072376,53,374,8712,6,28.95,5.79,Y
2023-06-19 14:30:24.072376,58,837,666,3,53.59,10.72,N
2023-09-19 14:30:24.072376,76,663,3546,4,84.75,16.95,N
2023-04-09 14:30:24.072376,32,874,4666,6,53.44,10.69,N
2022-10-03 14:30:24.073377,79,603,7234,4,64.69,12.94,Y
2023-09-28 14:30:24.073377,38,224,3746,3,42.07,8.41,Y
2023-07-22 14:30:24.073377,99,130,3958,4,96.36,19.27,N
2023-06-06 14:30:24.073377,56,618,5900,6,28.26,5.65,Y
2023-04-21 14:30:24.073377,7,33,8656,6,29.12,5.82,Y
2023-06-11 14:30:24.073377,42,419,4758,5,36.76,7.35,N
2022-10-28 14:30:24.073377,4,501,9681,10,75.34,15.07,N
2023-09-09 14:30:24.073377,98,615,9009,9,96.14,19.23,Y
2023-06-07 14:30:24.073377,19,622,5420,8,12.24,2.45,N
2023-03-21 14:30:24.073377,50,925,1981,2,87.11,17.42,Y
2022-12-22 14:30:24.073377,23,79,325,7,73.28,14.66,N
2023-08-31 14:30:24.073377,37,959,5673,10,83.1,16.62,N
2023-02-20 14:30:24.073377,7,113,3328,2,22.75,4.55,Y
2022-10-09 14:30:24.073377,73,655,406,3,10.37,2.07,Y
2023-07-05 14:30:24.073377,52,41,6811,9,53.38,10.68,Y
2023-08-15 14:30:24.073377,59,883,9190,3,94.2,18.84,N
2023-07-02 14:30:24.073377,24,882,3220,1,24.83,4.97,Y
2023-07-04 14:30:24.073377,5,251,5809,1,67.08,13.42,N
2022-12-29 14:30:24.073377,21,30,1714,7,60.12,12.02,Y
2023-08-25 14:30:24.073377,97,445,7782,2,44.79,8.96,N
2023-01-13 14:30:24.073377,49,882,5509,3,38.36,7.67,Y
2023-09-01 14:30:24.073377,75,762,6266,7,25.57,5.11,N
2023-08-12 14:30:24.073377,19,288,4488,6,29.68,5.94,N
2023-06-08 14:30:24.073377,24,909,7306,10,66.72,13.34,N
2023-04-13 14:30:24.073377,11,522,7964,9,35.74,7.15,N
2022-10-31 14:30:24.073377,9,638,7779,6,45.91,9.18,N
2023-03-30 14:30:24.073377,35,982,6721,6,53.18,10.64,N
2023-05-29 14:30:24.073377,94,846,3831,5,33.36,6.67,Y
2023-04-21 14:30:24.073377,93,54,8597,3,30.65,6.13,N
2023-04-28 14:30:24.073377,35,196,3039,8,92.72,18.54,Y
2023-09-10 14:30:24.073377,20,924,5593,6,63.41,12.68,N
2022-11-23 14:30:24.073377,1,245,6555,9,66.08,13.22,N
2023-02-01 14:30:24.073377,7,305,880,5,76.74,15.35,Y
2023-03-30 14:30:24.073377,77,84,2517,5,18.9,3.78,Y
2023-04-21 14:30:24.073377,28,218,6890,7,86.12,17.22,Y
2022-11-12 14:30:24.073377,43,8,7973,7,86.79,17.36,Y
2023-06-05 14:30:24.073377,58,314,6239,10,56.69,11.34,N
2023-08-31 14:30:24.073377,4,135,6085,4,73.34,14.67,Y
2023-09-03 14:30:24.073377,89,354,1778,4,27.74,5.55,Y
2023-07-15 14:30:24.073377,97,461,753,1,38.57,7.71,N
2023-06-02 14:30:24.073377,88,874,8673,9,58.93,11.79,Y
2022-12-16 14:30:24.073377,89,870,5799,8,62.7,12.54,Y
2023-08-25 14:30:24.073377,26,592,7452,10,40.35,8.07,N
2023-07-21 14:30:24.073377,79,225,1985,7,55.72,11.14,N
2023-01-19 14:30:24.073377,86,400,9745,10,95.88,19.18,N
2023-08-04 14:30:24.073377,59,488,437,5,99.29,19.86,Y
2023-05-06 14:30:24.073377,96,653,9711,2,93.83,18.77,N
2022-12-12 14:30:24.073377,24,766,5833,10,97.94,19.59,Y
2022-11-09 14:30:24.073377,19,198,863,10,12.14,2.43,Y
2023-06-18 14:30:24.073377,80,278,5048,8,10.7,2.14,Y
2023-05-23 14:30:24.073377,52,382,758,7,21.63,4.33,Y
2023-06-20 14:30:24.073377,31,76,550,2,83.65,16.73,N
2023-01-26 14:30:24.073377,47,223,2334,10,43.69,8.74,N
2022-10-23 14:30:24.073377,28,495,9916,4,24.58,4.92,N
2022-11-29 14:30:24.073377,38,835,3850,3,97.62,19.52,Y
2023-01-30 14:30:24.073377,60,285,593,9,72.96,14.59,Y
2023-03-27 14:30:24.073377,75,97,1383,7,68.31,13.66,Y
2023-08-31 14:30:24.073377,48,470,5892,7,14.4,2.88,Y
2022-11-19 14:30:24.073377,66,976,6459,3,24.81,4.96,N
2022-10-28 14:30:24.073377,37,71,8547,10,53.5,10.7,Y
2023-04-02 14:30:24.073377,71,660,504,8,25.78,5.16,N
